"STATION","NAME","DATE","TMAX","TMIN"
"MXM00076680","MEXICO CITY, MX","2008-06-20","80","50"
"MXM00076680","MEXICO CITY, MX","2008-06-21","80","54"
"MXM00076680","MEXICO CITY, MX","2008-06-24","72","54"
"MXM00076680","MEXICO CITY, MX","2008-06-25",,
"MXM00076680","MEXICO CITY, MX","2008-06-26","76","51"
"MXM00076680","MEXICO CITY, MX","2008-06-27",,
"MXM00076680","MEXICO CITY, MX","2008-06-28","80","53"
"MXM00076680","MEXICO CITY, MX","2008-07-01","71","54"
"MXM00076680","MEXICO CITY, MX","2008-07-02","70","55"
"MXM00076680","MEXICO CITY, MX","2008-07-03","70","55"
"MXM00076680","MEXICO CITY, MX","2008-07-04","73","55"
"MXM00076680","MEXICO CITY, MX","2008-07-06","75","54"
"MXM00076680","MEXICO CITY, MX","2008-07-08","67","56"
"MXM00076680","MEXICO CITY, MX","2008-07-09",,
"MXM00076680","MEXICO CITY, MX","2008-07-10",,
"MXM00076680","MEXICO CITY, MX","2008-07-11","70","53"
"MXM00076680","MEXICO CITY, MX","2008-07-13",,
"MXM00076680","MEXICO CITY, MX","2008-07-14","77","50"
"MXM00076680","MEXICO CITY, MX","2008-07-15","77","55"
"MXM00076680","MEXICO CITY, MX","2008-07-16","78","57"
"MXM00076680","MEXICO CITY, MX","2008-07-17","79","53"
"MXM00076680","MEXICO CITY, MX","2008-07-18",,
"MXM00076680","MEXICO CITY, MX","2008-07-19","78","53"
"MXM00076680","MEXICO CITY, MX","2008-07-20","79","52"
"MXM00076680","MEXICO CITY, MX","2008-07-22","80","48"
"MXM00076680","MEXICO CITY, MX","2008-07-23","79","54"
"MXM00076680","MEXICO CITY, MX","2008-07-24","82","56"
"MXM00076680","MEXICO CITY, MX","2008-07-25",,
"MXM00076680","MEXICO CITY, MX","2008-07-26","78","56"
"MXM00076680","MEXICO CITY, MX","2008-07-28","76","52"
"MXM00076680","MEXICO CITY, MX","2008-07-29",,
"MXM00076680","MEXICO CITY, MX","2008-07-30","81","55"
"MXM00076680","MEXICO CITY, MX","2008-07-31","81","55"
"MXM00076680","MEXICO CITY, MX","2008-08-01","82","57"
"MXM00076680","MEXICO CITY, MX","2008-08-04",,
"MXM00076680","MEXICO CITY, MX","2008-08-05","77","55"
"MXM00076680","MEXICO CITY, MX","2008-08-06","70","55"
"MXM00076680","MEXICO CITY, MX","2008-08-08",,
"MXM00076680","MEXICO CITY, MX","2008-08-11","78","50"
"MXM00076680","MEXICO CITY, MX","2008-08-12","81","54"
"MXM00076680","MEXICO CITY, MX","2008-08-13","81","54"
"MXM00076680","MEXICO CITY, MX","2008-08-14",,
"MXM00076680","MEXICO CITY, MX","2008-08-15","81","52"
"MXM00076680","MEXICO CITY, MX","2008-08-16","81","56"
"MXM00076680","MEXICO CITY, MX","2008-08-19","77","53"
"MXM00076680","MEXICO CITY, MX","2008-08-20",,
"MXM00076680","MEXICO CITY, MX","2008-08-21","77","56"
"MXM00076680","MEXICO CITY, MX","2008-08-22","78","57"
"MXM00076680","MEXICO CITY, MX","2008-08-26","80","54"
"MXM00076680","MEXICO CITY, MX","2008-08-27","75","52"
"MXM00076680","MEXICO CITY, MX","2008-08-28",,
"MXM00076680","MEXICO CITY, MX","2008-08-29","76","53"
"MXM00076680","MEXICO CITY, MX","2008-08-30","74","53"
"MXM00076680","MEXICO CITY, MX","2008-09-02","81","58"
"MXM00076680","MEXICO CITY, MX","2008-09-03","81","59"
"MXM00076680","MEXICO CITY, MX","2008-09-04","80","57"
"MXM00076680","MEXICO CITY, MX","2008-09-05","76","54"
"MXM00076680","MEXICO CITY, MX","2008-09-06","74","54"
"MXM00076680","MEXICO CITY, MX","2008-09-07",,
"MXM00076680","MEXICO CITY, MX","2008-09-08",,
"MXM00076680","MEXICO CITY, MX","2008-09-09","71","55"
"MXM00076680","MEXICO CITY, MX","2008-09-10","76","58"
"MXM00076680","MEXICO CITY, MX","2008-09-11","81","57"
"MXM00076680","MEXICO CITY, MX","2008-09-12","82","57"
"MXM00076680","MEXICO CITY, MX","2008-09-16",,
"MXM00076680","MEXICO CITY, MX","2008-09-17","68","48"
"MXM00076680","MEXICO CITY, MX","2008-09-18",,
"MXM00076680","MEXICO CITY, MX","2008-09-23",,
"MXM00076680","MEXICO CITY, MX","2008-09-24","74","56"
"MXM00076680","MEXICO CITY, MX","2008-09-25","69","57"
"MXM00076680","MEXICO CITY, MX","2008-09-27","67","51"
"MXM00076680","MEXICO CITY, MX","2008-09-29",,
"MXM00076680","MEXICO CITY, MX","2008-09-30","80","46"
"MXM00076680","MEXICO CITY, MX","2008-10-01",,
"MXM00076680","MEXICO CITY, MX","2008-10-02",,
"MXM00076680","MEXICO CITY, MX","2008-10-03",,
"MXM00076680","MEXICO CITY, MX","2008-10-07","71","49"
"MXM00076680","MEXICO CITY, MX","2008-10-09",,
"MXM00076680","MEXICO CITY, MX","2008-10-14","76","48"
"MXM00076680","MEXICO CITY, MX","2008-10-21",,
"MXM00076680","MEXICO CITY, MX","2008-10-22","77","45"
"MXM00076680","MEXICO CITY, MX","2008-10-23","76","45"
"MXM00076680","MEXICO CITY, MX","2008-10-24","78","49"
"MXM00076680","MEXICO CITY, MX","2008-10-25","77","50"
"MXM00076680","MEXICO CITY, MX","2008-10-28","60","47"
"MXM00076680","MEXICO CITY, MX","2008-10-30","74","42"
"MXM00076680","MEXICO CITY, MX","2008-10-31","75","49"
"MXM00076680","MEXICO CITY, MX","2008-11-02","68","46"
"MXM00076680","MEXICO CITY, MX","2008-11-04","74","47"
"MXM00076680","MEXICO CITY, MX","2008-11-05","75","47"
"MXM00076680","MEXICO CITY, MX","2008-11-06","77","46"
"MXM00076680","MEXICO CITY, MX","2008-11-07","77","49"
"MXM00076680","MEXICO CITY, MX","2008-11-11","78","47"
"MXM00076680","MEXICO CITY, MX","2008-11-12","82","47"
"MXM00076680","MEXICO CITY, MX","2008-11-13","81","50"
"MXM00076680","MEXICO CITY, MX","2008-11-14",,
"MXM00076680","MEXICO CITY, MX","2008-11-18","73","42"
"MXM00076680","MEXICO CITY, MX","2008-11-19","70","40"
"MXM00076680","MEXICO CITY, MX","2008-11-20","67","40"
"MXM00076680","MEXICO CITY, MX","2008-11-21","71","40"
"MXM00076680","MEXICO CITY, MX","2008-11-22",,
"MXM00076680","MEXICO CITY, MX","2008-11-25","74","42"
"MXM00076680","MEXICO CITY, MX","2008-11-26",,
"MXM00076680","MEXICO CITY, MX","2008-11-27","74","44"
"MXM00076680","MEXICO CITY, MX","2008-11-28","78","47"
"MXM00076680","MEXICO CITY, MX","2008-11-29","76","48"
"MXM00076680","MEXICO CITY, MX","2008-12-02","72","45"
"MXM00076680","MEXICO CITY, MX","2008-12-03",,
"MXM00076680","MEXICO CITY, MX","2008-12-04","75","44"
"MXM00076680","MEXICO CITY, MX","2008-12-05","74","41"
"MXM00076680","MEXICO CITY, MX","2008-12-06","75","42"
"MXM00076680","MEXICO CITY, MX","2008-12-10",,
"MXM00076680","MEXICO CITY, MX","2008-12-11","79","45"
"MXM00076680","MEXICO CITY, MX","2008-12-12",,
"MXM00076680","MEXICO CITY, MX","2008-12-13",,
"MXM00076680","MEXICO CITY, MX","2008-12-16","79","45"
"MXM00076680","MEXICO CITY, MX","2008-12-17","77","44"
"MXM00076680","MEXICO CITY, MX","2008-12-18","79","44"
"MXM00076680","MEXICO CITY, MX","2008-12-20","79","46"
"MXM00076680","MEXICO CITY, MX","2008-12-23","74","42"
"MXM00076680","MEXICO CITY, MX","2008-12-24","76","42"
"MXM00076680","MEXICO CITY, MX","2008-12-30","72","45"
"MXM00076680","MEXICO CITY, MX","2008-12-31","72","45"
"MXM00076680","MEXICO CITY, MX","2009-01-08","78","46"
"MXM00076680","MEXICO CITY, MX","2009-01-09",,
"MXM00076680","MEXICO CITY, MX","2009-01-10","82","47"
"MXM00076680","MEXICO CITY, MX","2009-01-11","79","46"
"MXM00076680","MEXICO CITY, MX","2009-01-13","70","48"
"MXM00076680","MEXICO CITY, MX","2009-01-15","69","43"
"MXM00076680","MEXICO CITY, MX","2009-01-16","60","46"
"MXM00076680","MEXICO CITY, MX","2009-01-17",,
"MXM00076680","MEXICO CITY, MX","2009-01-19",,
"MXM00076680","MEXICO CITY, MX","2009-01-20","70","41"
"MXM00076680","MEXICO CITY, MX","2009-01-21","69","44"
"MXM00076680","MEXICO CITY, MX","2009-01-22",,
"MXM00076680","MEXICO CITY, MX","2009-01-23","72","41"
"MXM00076680","MEXICO CITY, MX","2009-01-27","80","46"
"MXM00076680","MEXICO CITY, MX","2009-01-28","81","49"
"MXM00076680","MEXICO CITY, MX","2009-01-29","80","50"
"MXM00076680","MEXICO CITY, MX","2009-01-31",,
"MXM00076680","MEXICO CITY, MX","2009-02-04","69","43"
"MXM00076680","MEXICO CITY, MX","2009-02-05","68","40"
"MXM00076680","MEXICO CITY, MX","2009-02-06","68","40"
"MXM00076680","MEXICO CITY, MX","2009-02-07",,
"MXM00076680","MEXICO CITY, MX","2009-02-08","76","41"
"MXM00076680","MEXICO CITY, MX","2009-02-11","83","49"
"MXM00076680","MEXICO CITY, MX","2009-02-12","82","48"
"MXM00076680","MEXICO CITY, MX","2009-02-17","82","52"
"MXM00076680","MEXICO CITY, MX","2009-02-18","83","52"
"MXM00076680","MEXICO CITY, MX","2009-02-19","83","54"
"MXM00076680","MEXICO CITY, MX","2009-02-20","81","53"
"MXM00076680","MEXICO CITY, MX","2009-02-24",,
"MXM00076680","MEXICO CITY, MX","2009-02-25",,
"MXM00076680","MEXICO CITY, MX","2009-02-26",,
"MXM00076680","MEXICO CITY, MX","2009-02-27","82","46"
"MXM00076680","MEXICO CITY, MX","2009-03-04","79","42"
"MXM00076680","MEXICO CITY, MX","2009-03-05","81","46"
"MXM00076680","MEXICO CITY, MX","2009-03-06","83","48"
"MXM00076680","MEXICO CITY, MX","2009-03-07","83","48"
"MXM00076680","MEXICO CITY, MX","2009-03-08","83","51"
"MXM00076680","MEXICO CITY, MX","2009-03-10","84","53"
"MXM00076680","MEXICO CITY, MX","2009-03-12","82","53"
"MXM00076680","MEXICO CITY, MX","2009-03-13",,
"MXM00076680","MEXICO CITY, MX","2009-03-14","80","48"
"MXM00076680","MEXICO CITY, MX","2009-03-18","77","51"
"MXM00076680","MEXICO CITY, MX","2009-03-19",,
"MXM00076680","MEXICO CITY, MX","2009-03-20","80","49"
"MXM00076680","MEXICO CITY, MX","2009-03-21","75","49"
"MXM00076680","MEXICO CITY, MX","2009-03-24",,
"MXM00076680","MEXICO CITY, MX","2009-03-25","85","54"
"MXM00076680","MEXICO CITY, MX","2009-03-26","85","51"
"MXM00076680","MEXICO CITY, MX","2009-03-27","83","51"
"MXM00076680","MEXICO CITY, MX","2009-03-28","83","53"
"MXM00076680","MEXICO CITY, MX","2009-04-01","88","50"
"MXM00076680","MEXICO CITY, MX","2009-04-03","89","54"
"MXM00076680","MEXICO CITY, MX","2009-04-05","90","55"
"MXM00076680","MEXICO CITY, MX","2009-04-07","86","47"
"MXM00076680","MEXICO CITY, MX","2009-04-08","76","47"
"MXM00076680","MEXICO CITY, MX","2009-04-14",,
"MXM00076680","MEXICO CITY, MX","2009-04-15","83","53"
"MXM00076680","MEXICO CITY, MX","2009-04-16","87","55"
"MXM00076680","MEXICO CITY, MX","2009-04-17","85","55"
"MXM00076680","MEXICO CITY, MX","2009-04-18",,
"MXM00076680","MEXICO CITY, MX","2009-04-19","86","55"
"MXM00076680","MEXICO CITY, MX","2009-04-22","78","50"
"MXM00076680","MEXICO CITY, MX","2009-04-23","78","51"
"MXM00076680","MEXICO CITY, MX","2009-04-24",,
"MXM00076680","MEXICO CITY, MX","2009-04-25","85","53"
"MXM00076680","MEXICO CITY, MX","2009-04-28","87","56"
"MXM00076680","MEXICO CITY, MX","2009-04-29","85","54"
"MXM00076680","MEXICO CITY, MX","2009-04-30","85","54"
"MXM00076680","MEXICO CITY, MX","2009-05-01","85","55"
"MXM00076680","MEXICO CITY, MX","2009-05-02","88","51"
"MXM00076680","MEXICO CITY, MX","2009-05-03","87","54"
"MXM00076680","MEXICO CITY, MX","2009-05-06","87","56"
"MXM00076680","MEXICO CITY, MX","2009-05-08",,
"MXM00076680","MEXICO CITY, MX","2009-05-09","87","55"
"MXM00076680","MEXICO CITY, MX","2009-05-13","83","55"
"MXM00076680","MEXICO CITY, MX","2009-05-14",,
"MXM00076680","MEXICO CITY, MX","2009-05-15","79","55"
"MXM00076680","MEXICO CITY, MX","2009-05-16",,
"MXM00076680","MEXICO CITY, MX","2009-05-17","79","57"
"MXM00076680","MEXICO CITY, MX","2009-05-19","65","53"
"MXM00076680","MEXICO CITY, MX","2009-05-22",,
"MXM00076680","MEXICO CITY, MX","2009-05-23","77","53"
"MXM00076680","MEXICO CITY, MX","2009-05-24","76","55"
"MXM00076680","MEXICO CITY, MX","2009-05-25","80","56"
